[ 18:42:12 114.107.15.92 run  数据抓取] 最新数据2016-03-28，今天没有更新 [3120]
[ 19:07:02 114.107.15.92 run  数据抓取] 三门峡原店2016-03-28:114 [3120]
[ 19:07:03 114.107.15.92 run  数据抓取] 商丘批发2016-03-28:114 [3120]
[ 19:07:04 114.107.15.92 run  数据抓取] 信阳豫信花生2016-03-28:114 [3120]
[ 19:07:05 114.107.15.92 run  数据抓取] 郑州毛庄2016-03-28:114 [3120]
[ 19:07:06 114.107.15.92 run  数据抓取] 北安北方商场2016-03-28:114 [3120]
[ 19:07:07 114.107.15.92 run  数据抓取] 大庆九区2016-03-28:114 [3120]
[ 19:07:13 114.107.15.92 run  数据抓取] 抚远同鑫2016-03-28:114 [3120]
[ 19:07:14 114.107.15.92 run  数据抓取] 甘南农贸2016-03-28:114 [3120]
[ 19:07:15 114.107.15.92 run  数据抓取] 哈尔滨哈达2016-03-28:114 [3120]
[ 19:07:16 114.107.15.92 run  数据抓取] 鹤岗工农批发2016-03-28:114 [3120]
[ 19:07:17 114.107.15.92 run  数据抓取] 鹤岗万圃源2016-03-28:114 [3120]
[ 19:07:18 114.107.15.92 run  数据抓取] 呼玛综合2016-03-28:114 [3120]
[ 19:07:19 114.107.15.92 run  数据抓取] 虎林农贸2016-03-28:114 [3120]
[ 19:07:20 114.107.15.92 run  数据抓取] 鸡东世纪村2016-03-28:114 [3120]
[ 19:07:21 114.107.15.92 run  数据抓取] 鸡西南山2016-03-28:114 [3120]
[ 19:07:22 114.107.15.92 run  数据抓取] 佳木斯沿江2016-03-28:114 [3120]
[ 19:07:22 114.107.15.92 run  数据抓取] 萝北中央红大兴超市2016-03-28:114 [3120]
[ 19:07:23 114.107.15.92 run  数据抓取] 漠河北锤2016-03-28:114 [3120]
[ 19:07:24 114.107.15.92 run  数据抓取] 七星街2016-03-28:114 [3120]
[ 19:07:25 114.107.15.92 run  数据抓取] 绥化华辰2016-03-28:114 [3120]
[ 19:07:27 114.107.15.92 run  数据抓取] 泰来综合2016-03-28:114 [3120]
[ 19:07:28 114.107.15.92 run  数据抓取] 望奎华辰2016-03-28:114 [3120]
[ 19:07:29 114.107.15.92 run  数据抓取] 逊克综合大市场2016-03-28:114 [3120]
[ 19:07:30 114.107.15.92 run  数据抓取] 肇州农贸2016-03-28:114 [3120]
[ 19:07:31 114.107.15.92 run  数据抓取] 鄂州蟠龙2016-03-28:114 [3120]
[ 19:07:31 114.107.15.92 run  数据抓取] 洪湖2016-03-28:114 [3120]
[ 19:07:32 114.107.15.92 run  数据抓取] 黄石农产品2016-03-28:114 [3120]
[ 19:07:33 114.107.15.92 run  数据抓取] 十堰堰中2016-03-28:114 [3120]
[ 19:07:34 114.107.15.92 run  数据抓取] 武汉白沙洲2016-03-28:114 [3120]
[ 19:07:35 114.107.15.92 run  数据抓取] 武汉皇经堂2016-03-28:114 [3120]
[ 19:07:36 114.107.15.92 run  数据抓取] 浠水2016-03-28:114 [3120]
[ 19:07:41 114.107.15.92 run  数据抓取] 襄阳批发2016-03-28:114 [3120]
[ 19:07:42 114.107.15.92 run  数据抓取] 孝感南大2016-03-28:114 [3120]
[ 19:07:43 114.107.15.92 run  数据抓取] 宜昌金桥2016-03-28:114 [3120]
[ 19:07:43 114.107.15.92 run  数据抓取] 长沙马王堆2016-03-28:114 [3120]
[ 19:07:44 114.107.15.92 run  数据抓取] 常德甘露寺2016-03-28:114 [3120]
[ 19:07:45 114.107.15.92 run  数据抓取] 衡阳西园2016-03-28:114 [3120]
[ 19:07:46 114.107.15.92 run  数据抓取] 红星2016-03-28:114 [3120]
[ 19:07:46 114.107.15.92 run  数据抓取] 吉首2016-03-28:114 [3120]
[ 19:07:47 114.107.15.92 run  数据抓取] 益阳团洲2016-03-28:114 [3120]
[ 19:07:48 114.107.15.92 run  数据抓取] 岳阳花板桥2016-03-28:114 [3120]
[ 19:07:49 114.107.15.92 run  数据抓取] 辽源贸发2016-03-28:114 [3120]
[ 19:07:49 114.107.15.92 run  数据抓取] 常州2016-03-28:114 [3120]
[ 19:07:50 114.107.15.92 run  数据抓取] 常州凌家塘2016-03-28:114 [3120]
[ 19:07:51 114.107.15.92 run  数据抓取] 丰县2016-03-28:114 [3120]
[ 19:07:51 114.107.15.92 run  数据抓取] 淮海2016-03-28:114 [3120]
[ 19:07:52 114.107.15.92 run  数据抓取] 建湖水产2016-03-28:114 [3120]
[ 19:07:53 114.107.15.92 run  数据抓取] 南京众彩物流2016-03-28:114 [3120]
[ 19:07:56 114.107.15.92 run  数据抓取] 安庆2016-03-28:114 [3120]
[ 19:07:56 114.107.15.92 run  数据抓取] 亳州2016-03-28:114 [3120]
[ 19:07:57 114.107.15.92 run  数据抓取] 砀山2016-03-28:114 [3120]
[ 19:07:58 114.107.15.92 run  数据抓取] 合肥周谷堆2016-03-28:114 [3120]
[ 19:07:59 114.107.15.92 run  数据抓取] 和县2016-03-28:114 [3120]
[ 19:07:59 114.107.15.92 run  数据抓取] 淮北2016-03-28:114 [3120]
[ 19:08:00 114.107.15.92 run  数据抓取] 六安紫竹林2016-03-28:114 [3120]
[ 19:08:01 114.107.15.92 run  数据抓取] 马鞍山安民2016-03-28:114 [3120]
[ 19:08:01 114.107.15.92 run  数据抓取] 宿州南关2016-03-28:114 [3120]
[ 19:08:02 114.107.15.92 run  数据抓取] 裕安紫竹林2016-03-28:114 [3120]
[ 19:08:03 114.107.15.92 run  数据抓取] 苏州南环桥2016-03-28:114 [3120]
[ 19:08:03 114.107.15.92 run  数据抓取] 北京八里桥2016-03-28:114 [3120]
[ 19:08:04 114.107.15.92 run  数据抓取] 无锡朝阳2016-03-28:114 [3120]
[ 19:08:04 114.107.15.92 run  数据抓取] 北京大洋路2016-03-28:114 [3120]
[ 19:08:05 114.107.15.92 run  数据抓取] 北京锦绣大地2016-03-28:114 [3120]
[ 19:08:05 114.107.15.92 run  数据抓取] 无锡天鹏2016-03-28:114 [3120]
[ 19:08:06 114.107.15.92 run  数据抓取] 徐州淮海蔬菜2016-03-28:114 [3120]
[ 19:08:06 114.107.15.92 run  数据抓取] 北京日上2016-03-28:114 [3120]
[ 19:08:07 114.107.15.92 run  数据抓取] 徐州七里沟2016-03-28:114 [3120]
[ 19:08:08 114.107.15.92 run  数据抓取] 北京水屯2016-03-28:114 [3120]
[ 19:08:09 114.107.15.92 run  数据抓取] 北京顺鑫石门2016-03-28:114 [3120]
[ 19:08:09 114.107.15.92 run  数据抓取] 扬州联谊2016-03-28:114 [3120]
[ 19:08:10 114.107.15.92 run  数据抓取] 北京新发地2016-03-28:114 [3120]
[ 19:08:10 114.107.15.92 run  数据抓取] 宜兴2016-03-28:114 [3120]
[ 19:08:11 114.107.15.92 run  数据抓取] 北京玉泉路2016-03-28:114 [3120]
[ 19:08:11 114.107.15.92 run  数据抓取] 赣州南北2016-03-28:114 [3120]
[ 19:08:12 114.107.15.92 run  数据抓取] 乐平2016-03-28:114 [3120]
[ 19:08:12 114.107.15.92 run  数据抓取] 北京岳各庄2016-03-28:114 [3120]
[ 19:08:13 114.107.15.92 run  数据抓取] 南昌农产品2016-03-28:114 [3120]
[ 19:08:13 114.107.15.92 run  数据抓取] 福鼎2016-03-28:114 [3120]
[ 19:08:14 114.107.15.92 run  数据抓取] 南方粮食2016-03-28:114 [3120]
[ 19:08:14 114.107.15.92 run  数据抓取] 福州2016-03-28:114 [3120]
[ 19:08:15 114.107.15.92 run  数据抓取] 福州海峡2016-03-28:114 [3120]
[ 19:08:15 114.107.15.92 run  数据抓取] 永丰2016-03-28:114 [3120]
[ 19:08:16 114.107.15.92 run  数据抓取] 鞍山宁远2016-03-28:114 [3120]
[ 19:08:17 114.107.15.92 run  数据抓取] 朝阳果菜2016-03-28:114 [3120]
[ 19:08:17 114.107.15.92 run  数据抓取] 大连双兴2016-03-28:114 [3120]
[ 19:08:18 114.107.15.92 run  数据抓取] 阜新蔬菜2016-03-28:114 [3120]
[ 19:08:19 114.107.15.92 run  数据抓取] 包头友谊2016-03-28:114 [3120]
[ 19:08:20 114.107.15.92 run  数据抓取] 赤峰西城2016-03-28:114 [3120]
[ 19:08:21 114.107.15.92 run  数据抓取] 呼和浩特东瓦窑 2016-03-28:114 [3120]
[ 19:08:25 114.107.15.92 run  数据抓取] 龙岩2016-03-28:114 [3120]
[ 19:08:26 114.107.15.92 run  数据抓取] 南平2016-03-28:114 [3120]
[ 19:08:27 114.107.15.92 run  数据抓取] 宁德2016-03-28:114 [3120]
[ 19:08:30 114.107.15.92 run  数据抓取] 莆田2016-03-28:114 [3120]
[ 19:08:30 114.107.15.92 run  数据抓取] 呼和浩特美通2016-03-28:114 [3120]
[ 19:08:31 114.107.15.92 run  数据抓取] 泉州2016-03-28:114 [3120]
[ 19:08:32 114.107.15.92 run  数据抓取] 吴忠鑫鲜2016-03-28:114 [3120]
[ 19:08:32 114.107.15.92 run  数据抓取] 银川北环2016-03-28:114 [3120]
[ 19:08:33 114.107.15.92 run  数据抓取] 三明2016-03-28:114 [3120]
[ 19:08:33 114.107.15.92 run  数据抓取] 厦门2016-03-28:114 [3120]
[ 19:08:34 114.107.15.92 run  数据抓取] 中卫东园2016-03-28:114 [3120]
[ 19:08:35 114.107.15.92 run  数据抓取] 西宁仁杰2016-03-28:114 [3120]
[ 19:08:35 114.107.15.92 run  数据抓取] 同安闽南2016-03-28:114 [3120]
[ 19:08:36 114.107.15.92 run  数据抓取] 滨州六街2016-03-28:114 [3120]
[ 19:08:36 114.107.15.92 run  数据抓取] 漳州2016-03-28:114 [3120]
[ 19:08:37 114.107.15.92 run  数据抓取] 靖远2016-03-28:114 [3120]
[ 19:08:37 114.107.15.92 run  数据抓取] 苍山鲁南2016-03-28:114 [3120]
[ 19:08:38 114.107.15.92 run  数据抓取] 德州黑马2016-03-28:114 [3120]
[ 19:08:38 114.107.15.92 run  数据抓取] 酒泉春光2016-03-28:114 [3120]
[ 19:08:39 114.107.15.92 run  数据抓取] 兰州大青山2016-03-28:114 [3120]
[ 19:08:39 114.107.15.92 run  数据抓取] 济南七里堡2016-03-28:114 [3120]
[ 19:08:40 114.107.15.92 run  数据抓取] 陇西清吉2016-03-28:114 [3120]
[ 19:08:40 114.107.15.92 run  数据抓取] 临邑2016-03-28:114 [3120]
[ 19:08:41 114.107.15.92 run  数据抓取] 天水瀛池2016-03-28:114 [3120]
[ 19:08:42 114.107.15.92 run  数据抓取] 宁津2016-03-28:114 [3120]
[ 19:08:42 114.107.15.92 run  数据抓取] 武山2016-03-28:114 [3120]
[ 19:08:43 114.107.15.92 run  数据抓取] 青岛沧口2016-03-28:114 [3120]
[ 19:08:43 114.107.15.92 run  数据抓取] 东莞大京九2016-03-28:114 [3120]
[ 19:08:44 114.107.15.92 run  数据抓取] 广州江南2016-03-28:114 [3120]
[ 19:08:44 114.107.15.92 run  数据抓取] 青岛城阳批发2016-03-28:114 [3120]
[ 19:08:45 114.107.15.92 run  数据抓取] 青岛东庄头2016-03-28:114 [3120]
[ 19:08:45 114.107.15.92 run  数据抓取] 惠州农产品物流中心2016-03-28:114 [3120]
[ 19:08:46 114.107.15.92 run  数据抓取] 江门水产2016-03-28:114 [3120]
[ 19:08:46 114.107.15.92 run  数据抓取] 青岛抚顺路2016-03-28:114 [3120]
[ 19:08:47 114.107.15.92 run  数据抓取] 江门水果2016-03-28:114 [3120]
[ 19:08:48 114.107.15.92 run  数据抓取] 青岛黄河路2016-03-28:114 [3120]
[ 19:08:48 114.107.15.92 run  数据抓取] 泰安良庄2016-03-28:114 [3120]
[ 19:08:49 114.107.15.92 run  数据抓取] 威海水产品2016-03-28:114 [3120]
[ 19:08:49 114.107.15.92 run  数据抓取] 汕头2016-03-28:114 [3120]
[ 19:08:50 114.107.15.92 run  数据抓取] 章丘2016-03-28:114 [3120]
[ 19:08:50 114.107.15.92 run  数据抓取] 深圳南山批发2016-03-28:114 [3120]
[ 19:08:51 114.107.15.92 run  数据抓取] 南宁五里亭2016-03-28:114 [3120]
[ 19:08:52 114.107.15.92 run  数据抓取] 淄博批发2016-03-28:114 [3120]
[ 19:08:52 114.107.15.92 run  数据抓取] 长治金鑫瓜果2016-03-28:114 [3120]
[ 19:08:53 114.107.15.92 run  数据抓取] 田阳2016-03-28:114 [3120]
[ 19:08:53 114.107.15.92 run  数据抓取] 长治紫坊2016-03-28:114 [3120]
[ 19:08:54 114.107.15.92 run  数据抓取] 玉屏2016-03-28:114 [3120]
[ 19:08:55 114.107.15.92 run  数据抓取] 大同振华2016-03-28:114 [3120]
[ 19:08:55 114.107.15.92 run  数据抓取] 遵义虾子辣椒2016-03-28:114 [3120]
[ 19:08:56 114.107.15.92 run  数据抓取] 保定批发2016-03-28:114 [3120]
[ 19:08:57 101.226.66.172 run  数据抓取] 安庆2016-03-28:114 [3120]
[ 19:08:58 114.107.15.92 run  数据抓取] 沧州红枣2016-03-28:114 [3120]
[ 19:08:58 114.107.15.92 run  数据抓取] 安庆2016-03-28:114 [3120]
[ 19:08:59 101.226.66.172 run  数据抓取] 亳州2016-03-28:114 [3120]
[ 19:08:59 114.107.15.92 run  数据抓取] 亳州2016-03-28:114 [3120]
[ 19:08:59 114.107.15.92 run  数据抓取] 馆陶金凤2016-03-28:114 [3120]
[ 19:09:00 114.107.15.92 run  数据抓取] 汾阳晋阳2016-03-28:114 [3120]
[ 19:09:01 101.226.66.172 run  数据抓取] 砀山2016-03-28:114 [3120]
[ 19:09:01 114.107.15.92 run  数据抓取] 晋城绿盛2016-03-28:114 [3120]
[ 19:09:01 114.107.15.92 run  数据抓取] 砀山2016-03-28:114 [3120]
[ 19:09:01 114.107.15.92 run  数据抓取] 怀来京西2016-03-28:114 [3120]
[ 19:09:03 114.107.15.92 run  数据抓取] 乐亭冀东2016-03-28:114 [3120]
[ 19:09:03 114.107.15.92 run  数据抓取] 晋城绿欣2016-03-28:114 [3120]
[ 19:09:03 101.226.66.172 run  数据抓取] 合肥周谷堆2016-03-28:114 [3120]
[ 19:09:04 114.107.15.92 run  数据抓取] 合肥周谷堆2016-03-28:114 [3120]
[ 19:09:05 114.107.15.92 run  数据抓取] 秦皇岛昌黎批发2016-03-28:114 [3120]
[ 19:09:05 101.226.66.172 run  数据抓取] 和县2016-03-28:114 [3120]
[ 19:09:06 114.107.15.92 run  数据抓取] 和县2016-03-28:114 [3120]
[ 19:09:06 114.107.15.92 run  数据抓取] 秦皇岛海阳2016-03-28:114 [3120]
[ 19:09:07 114.107.15.92 run  数据抓取] 淮北2016-03-28:114 [3120]
[ 19:09:08 101.226.66.172 run  数据抓取] 淮北2016-03-28:114 [3120]
[ 19:09:08 114.107.15.92 run  数据抓取] 临汾尧丰2016-03-28:114 [3120]
[ 19:09:09 101.226.66.172 run  数据抓取] 六安紫竹林2016-03-28:114 [3120]
[ 19:09:10 114.107.15.92 run  数据抓取] 吕梁离石批发2016-03-28:114 [3120]
[ 19:09:10 114.107.15.92 run  数据抓取] 六安紫竹林2016-03-28:114 [3120]
[ 19:09:11 114.107.15.92 run  数据抓取] 饶阳2016-03-28:114 [3120]
[ 19:09:12 114.107.15.92 run  数据抓取] 朔州大运2016-03-28:114 [3120]
[ 19:09:13 114.107.15.92 run  数据抓取] 三河2016-03-28:114 [3120]
[ 19:09:13 101.226.66.172 run  数据抓取] 马鞍山安民2016-03-28:114 [3120]
[ 19:09:13 114.107.15.92 run  数据抓取] 马鞍山安民2016-03-28:114 [3120]
[ 19:09:15 114.107.15.92 run  数据抓取] 宿州南关2016-03-28:114 [3120]
[ 19:09:15 101.226.66.172 run  数据抓取] 宿州南关2016-03-28:114 [3120]
[ 19:09:16 114.107.15.92 run  数据抓取] 太原河西2016-03-28:114 [3120]
[ 19:09:16 114.107.15.92 run  数据抓取] 石家庄桥西批发2016-03-28:114 [3120]
[ 19:09:18 114.107.15.92 run  数据抓取] 裕安紫竹林2016-03-28:114 [3120]
[ 19:09:18 101.226.66.172 run  数据抓取] 裕安紫竹林2016-03-28:114 [3120]
[ 19:09:18 114.107.15.92 run  数据抓取] 太原利民2016-03-28:114 [3120]
[ 19:09:19 114.107.15.92 run  数据抓取] 唐山荷花坑2016-03-28:114 [3120]
[ 19:09:20 114.107.15.92 run  数据抓取] 孝义绿海2016-03-28:114 [3120]
[ 19:09:21 114.107.15.92 run  数据抓取] 威县瓜菜2016-03-28:114 [3120]
[ 19:09:21 114.107.15.92 run  数据抓取] 北京八里桥2016-03-28:114 [3120]
[ 19:09:22 101.226.66.172 run  数据抓取] 北京八里桥2016-03-28:114 [3120]
[ 19:09:23 114.107.15.92 run  数据抓取] 魏县天仙2016-03-28:114 [3120]
[ 19:09:23 114.107.15.92 run  数据抓取] 新绛2016-03-28:114 [3120]
[ 19:09:24 114.107.15.92 run  数据抓取] 北京大洋路2016-03-28:114 [3120]
[ 19:09:24 101.226.66.172 run  数据抓取] 北京大洋路2016-03-28:114 [3120]
[ 19:09:26 101.226.66.172 run  数据抓取] 北京锦绣大地2016-03-28:114 [3120]
[ 19:09:26 114.107.15.92 run  数据抓取] 北京锦绣大地2016-03-28:114 [3120]
[ 19:09:27 114.107.15.92 run  数据抓取] 阳泉批发2016-03-28:114 [3120]
[ 19:09:27 114.107.15.92 run  数据抓取] 安阳批发2016-03-28:114 [3120]
[ 19:09:29 114.107.15.92 run  数据抓取] 北京日上2016-03-28:114 [3120]
[ 19:09:29 101.226.66.172 run  数据抓取] 北京日上2016-03-28:114 [3120]
[ 19:09:29 114.107.15.92 run  数据抓取] 南阳果品2016-03-28:114 [3120]
[ 19:09:30 114.107.15.92 run  数据抓取] 运城蔬菜2016-03-28:114 [3120]
[ 19:09:31 101.226.66.172 run  数据抓取] 北京水屯2016-03-28:114 [3120]
[ 19:09:32 114.107.15.92 run  数据抓取] 濮阳批发2016-03-28:114 [3120]
[ 19:09:32 114.107.15.92 run  数据抓取] 汉中皇冠过街楼2016-03-28:114 [3120]
[ 19:09:33 114.107.15.92 run  数据抓取] 北京水屯2016-03-28:114 [3120]
[ 19:09:34 101.226.66.172 run  数据抓取] 北京顺鑫石门2016-03-28:114 [3120]
[ 19:09:34 114.107.15.92 run  数据抓取] 泾阳云阳2016-03-28:114 [3120]
[ 19:09:35 114.107.15.92 run  数据抓取] 三门峡原店2016-03-28:114 [3120]
[ 19:09:35 114.107.15.92 run  数据抓取] 北京顺鑫石门2016-03-28:114 [3120]
[ 19:09:37 101.226.66.172 run  数据抓取] 北京新发地2016-03-28:114 [3120]
[ 19:09:37 114.107.15.92 run  数据抓取] 北京新发地2016-03-28:114 [3120]
[ 19:09:38 114.107.15.92 run  数据抓取] 商丘批发2016-03-28:114 [3120]
[ 19:09:38 114.107.15.92 run  数据抓取] 西安摩尔2016-03-28:114 [3120]
[ 19:09:39 114.107.15.92 run  数据抓取] 咸阳新阳光2016-03-28:114 [3120]
[ 19:09:40 114.107.15.92 run  数据抓取] 北京玉泉路2016-03-28:114 [3120]
[ 19:09:40 114.107.15.92 run  数据抓取] 信阳豫信花生2016-03-28:114 [3120]
[ 19:09:41 101.226.66.172 run  数据抓取] 北京玉泉路2016-03-28:114 [3120]
[ 19:09:42 101.226.66.172 run  数据抓取] 北京岳各庄2016-03-28:114 [3120]
[ 19:09:43 114.107.15.92 run  数据抓取] 云阳2016-03-28:114 [3120]
[ 19:09:43 114.107.15.92 run  数据抓取] 北京岳各庄2016-03-28:114 [3120]
[ 19:09:44 114.107.15.92 run  数据抓取] 福鼎2016-03-28:114 [3120]
[ 19:09:45 101.226.66.172 run  数据抓取] 福鼎2016-03-28:114 [3120]
[ 19:09:45 114.107.15.92 run  数据抓取] 上海江桥2016-03-28:114 [3120]
[ 19:09:46 114.107.15.92 run  数据抓取] 郑州毛庄2016-03-28:114 [3120]
[ 19:09:47 114.107.15.92 run  数据抓取] 福州2016-03-28:114 [3120]
[ 19:09:48 114.107.15.92 run  数据抓取] 北安北方商场2016-03-28:114 [3120]
[ 19:09:48 114.107.15.92 run  数据抓取] 上海农产品2016-03-28:114 [3120]
[ 19:09:48 101.226.66.172 run  数据抓取] 福州2016-03-28:114 [3120]
[ 19:09:50 101.226.66.172 run  数据抓取] 福州海峡2016-03-28:114 [3120]
[ 19:09:50 114.107.15.92 run  数据抓取] 成都聚和2016-03-28:114 [3120]
[ 19:09:51 114.107.15.92 run  数据抓取] 大庆九区2016-03-28:114 [3120]
[ 19:09:51 114.107.15.92 run  数据抓取] 福州海峡2016-03-28:114 [3120]
[ 19:09:52 101.226.66.172 run  数据抓取] 龙岩2016-03-28:114 [3120]
[ 19:09:53 114.107.15.92 run  数据抓取] 龙岩2016-03-28:114 [3120]
[ 19:09:54 114.107.15.92 run  数据抓取] 成都农产品2016-03-28:114 [3120]
[ 19:09:54 114.107.15.92 run  数据抓取] 抚远同鑫2016-03-28:114 [3120]
[ 19:09:54 101.226.66.172 run  数据抓取] 南平2016-03-28:114 [3120]
[ 19:09:56 114.107.15.92 run  数据抓取] 甘南农贸2016-03-28:114 [3120]
[ 19:09:56 114.107.15.92 run  数据抓取] 成都禽蛋2016-03-28:114 [3120]
[ 19:09:57 101.226.66.172 run  数据抓取] 宁德2016-03-28:114 [3120]
[ 19:09:57 114.107.15.92 run  数据抓取] 南平2016-03-28:114 [3120]
[ 19:09:59 114.107.15.92 run  数据抓取] 哈尔滨哈达2016-03-28:114 [3120]
[ 19:09:59 114.107.15.92 run  数据抓取] 成都西部禽蛋2016-03-28:114 [3120]
[ 19:09:59 101.226.66.172 run  数据抓取] 莆田2016-03-28:114 [3120]
[ 19:10:00 114.107.15.92 run  数据抓取] 宁德2016-03-28:114 [3120]
[ 19:10:01 114.107.15.92 run  数据抓取] 广安邻水批发2016-03-28:114 [3120]
[ 19:10:02 114.107.15.92 run  数据抓取] 鹤岗工农批发2016-03-28:114 [3120]
