[ 03:41:16 14.152.69.214 run  数据抓取] 安庆2016-03-23:110 [3440]
[ 03:42:54 14.152.69.214 run  数据抓取] 益阳团洲2016-03-23:110 [3440]
[ 03:42:55 14.152.69.214 run  数据抓取] 岳阳花板桥2016-03-23:110 [3440]
[ 03:42:56 14.152.69.214 run  数据抓取] 辽源贸发2016-03-23:110 [3440]
[ 03:42:56 14.152.69.214 run  数据抓取] 常州2016-03-23:110 [3440]
[ 03:42:57 14.152.69.214 run  数据抓取] 常州凌家塘2016-03-23:110 [3440]
[ 03:42:58 14.152.69.214 run  数据抓取] 丰县2016-03-23:110 [3440]
[ 03:42:59 14.152.69.214 run  数据抓取] 淮海2016-03-23:110 [3440]
[ 03:42:59 14.152.69.214 run  数据抓取] 建湖水产2016-03-23:110 [3440]
[ 03:43:00 14.152.69.214 run  数据抓取] 南京众彩物流2016-03-23:110 [3440]
[ 03:43:01 14.152.69.214 run  数据抓取] 苏州南环桥2016-03-23:110 [3440]
[ 03:43:01 14.152.69.214 run  数据抓取] 无锡朝阳2016-03-23:110 [3440]
[ 03:43:02 14.152.69.214 run  数据抓取] 无锡天鹏2016-03-23:110 [3440]
[ 03:43:03 14.152.69.214 run  数据抓取] 徐州淮海蔬菜2016-03-23:110 [3440]
[ 03:43:04 14.152.69.214 run  数据抓取] 徐州七里沟2016-03-23:110 [3440]
[ 03:43:04 14.152.69.214 run  数据抓取] 扬州联谊2016-03-23:110 [3440]
[ 03:43:05 14.152.69.214 run  数据抓取] 宜兴2016-03-23:110 [3440]
[ 03:43:06 14.152.69.214 run  数据抓取] 赣州南北2016-03-23:110 [3440]
[ 03:43:07 14.152.69.214 run  数据抓取] 乐平2016-03-23:110 [3440]
[ 03:43:07 14.152.69.214 run  数据抓取] 南昌农产品2016-03-23:110 [3440]
[ 03:43:08 14.152.69.214 run  数据抓取] 南方粮食2016-03-23:110 [3440]
[ 03:43:09 14.152.69.214 run  数据抓取] 永丰2016-03-23:110 [3440]
[ 03:43:10 14.152.69.214 run  数据抓取] 鞍山宁远2016-03-23:110 [3440]
[ 03:43:10 14.152.69.214 run  数据抓取] 朝阳果菜2016-03-23:110 [3440]
[ 03:43:11 14.152.69.214 run  数据抓取] 大连双兴2016-03-23:110 [3440]
[ 03:43:12 14.152.69.214 run  数据抓取] 阜新蔬菜2016-03-23:110 [3440]
[ 03:43:13 14.152.69.214 run  数据抓取] 包头友谊2016-03-23:110 [3440]
[ 03:43:13 14.152.69.214 run  数据抓取] 赤峰西城2016-03-23:110 [3440]
[ 03:43:14 14.152.69.214 run  数据抓取] 呼和浩特东瓦窑 2016-03-23:110 [3440]
[ 03:43:15 14.152.69.214 run  数据抓取] 呼和浩特美通2016-03-23:110 [3440]
[ 03:43:16 14.152.69.214 run  数据抓取] 吴忠鑫鲜2016-03-23:110 [3440]
[ 03:43:16 14.152.69.214 run  数据抓取] 银川北环2016-03-23:110 [3440]
[ 03:43:17 14.152.69.214 run  数据抓取] 中卫东园2016-03-23:110 [3440]
[ 03:43:18 14.152.69.214 run  数据抓取] 西宁仁杰2016-03-23:110 [3440]
[ 03:43:18 14.152.69.214 run  数据抓取] 滨州六街2016-03-23:110 [3440]
[ 03:43:19 14.152.69.214 run  数据抓取] 苍山鲁南2016-03-23:110 [3440]
[ 03:43:20 14.152.69.214 run  数据抓取] 德州黑马2016-03-23:110 [3440]
[ 03:43:21 14.152.69.214 run  数据抓取] 济南七里堡2016-03-23:110 [3440]
[ 03:43:22 14.152.69.214 run  数据抓取] 临邑2016-03-23:110 [3440]
[ 03:43:23 14.152.69.214 run  数据抓取] 宁津2016-03-23:110 [3440]
[ 03:43:23 14.152.69.214 run  数据抓取] 青岛沧口2016-03-23:110 [3440]
[ 03:43:24 14.152.69.214 run  数据抓取] 青岛城阳批发2016-03-23:110 [3440]
[ 03:43:25 14.152.69.214 run  数据抓取] 青岛东庄头2016-03-23:110 [3440]
[ 03:43:26 14.152.69.214 run  数据抓取] 青岛抚顺路2016-03-23:110 [3440]
[ 03:43:26 14.152.69.214 run  数据抓取] 青岛黄河路2016-03-23:110 [3440]
[ 03:43:27 14.152.69.214 run  数据抓取] 泰安良庄2016-03-23:110 [3440]
[ 03:43:28 14.152.69.214 run  数据抓取] 威海水产品2016-03-23:110 [3440]
[ 03:43:28 14.152.69.214 run  数据抓取] 章丘2016-03-23:110 [3440]
[ 03:43:29 14.152.69.214 run  数据抓取] 淄博批发2016-03-23:110 [3440]
[ 03:43:30 14.152.69.214 run  数据抓取] 长治金鑫瓜果2016-03-23:110 [3440]
[ 03:43:31 14.152.69.214 run  数据抓取] 长治紫坊2016-03-23:110 [3440]
[ 03:43:34 14.152.69.214 run  数据抓取] 大同振华2016-03-23:110 [3440]
[ 03:43:35 14.152.69.214 run  数据抓取] 汾阳晋阳2016-03-23:110 [3440]
[ 03:43:36 14.152.69.214 run  数据抓取] 晋城绿盛2016-03-23:110 [3440]
[ 03:43:37 14.152.69.214 run  数据抓取] 晋城绿欣2016-03-23:110 [3440]
[ 03:43:38 14.152.69.214 run  数据抓取] 临汾尧丰2016-03-23:110 [3440]
[ 03:43:38 14.152.69.214 run  数据抓取] 吕梁离石批发2016-03-23:110 [3440]
[ 03:43:39 14.152.69.214 run  数据抓取] 朔州大运2016-03-23:110 [3440]
[ 03:43:40 14.152.69.214 run  数据抓取] 太原河西2016-03-23:110 [3440]
[ 03:43:40 14.152.69.214 run  数据抓取] 太原利民2016-03-23:110 [3440]
[ 03:43:41 14.152.69.214 run  数据抓取] 孝义绿海2016-03-23:110 [3440]
[ 03:43:42 14.152.69.214 run  数据抓取] 新绛2016-03-23:110 [3440]
[ 03:43:43 14.152.69.214 run  数据抓取] 阳泉批发2016-03-23:110 [3440]
[ 03:43:44 14.152.69.214 run  数据抓取] 运城蔬菜2016-03-23:110 [3440]
[ 03:43:44 14.152.69.214 run  数据抓取] 汉中皇冠过街楼2016-03-23:110 [3440]
[ 03:43:45 14.152.69.214 run  数据抓取] 泾阳云阳2016-03-23:110 [3440]
[ 03:43:46 14.152.69.214 run  数据抓取] 西安摩尔2016-03-23:110 [3440]
[ 03:43:46 14.152.69.214 run  数据抓取] 咸阳新阳光2016-03-23:110 [3440]
[ 03:43:48 14.152.69.214 run  数据抓取] 云阳2016-03-23:110 [3440]
[ 03:43:48 14.152.69.214 run  数据抓取] 上海江桥2016-03-23:110 [3440]
[ 03:43:49 14.152.69.214 run  数据抓取] 上海农产品2016-03-23:110 [3440]
[ 03:43:50 14.152.69.214 run  数据抓取] 成都聚和2016-03-23:110 [3440]
[ 03:43:51 14.152.69.214 run  数据抓取] 成都农产品2016-03-23:110 [3440]
[ 03:43:52 14.152.69.214 run  数据抓取] 成都禽蛋2016-03-23:110 [3440]
[ 03:43:52 14.152.69.214 run  数据抓取] 成都西部禽蛋2016-03-23:110 [3440]
[ 03:43:53 14.152.69.214 run  数据抓取] 广安邻水批发2016-03-23:110 [3440]
[ 03:43:54 14.152.69.214 run  数据抓取] 会东牲畜2016-03-23:110 [3440]
[ 03:43:54 14.152.69.214 run  数据抓取] 江油仔猪2016-03-23:110 [3440]
[ 03:43:55 14.152.69.214 run  数据抓取] 九襄2016-03-23:110 [3440]
[ 03:43:56 14.152.69.214 run  数据抓取] 泸州仔猪2016-03-23:110 [3440]
[ 03:43:57 14.152.69.214 run  数据抓取] 绵阳高水2016-03-23:110 [3440]
[ 03:43:57 14.152.69.214 run  数据抓取] 西昌广平2016-03-23:110 [3440]
[ 03:43:58 14.152.69.214 run  数据抓取] 天津北辰韩家墅2016-03-23:110 [3440]
[ 03:43:59 14.152.69.214 run  数据抓取] 天津东丽金钟2016-03-23:110 [3440]
[ 03:44:00 14.152.69.214 run  数据抓取] 天津津南何庄子2016-03-23:110 [3440]
[ 03:44:00 14.152.69.214 run  数据抓取] 天津武清大沙河2016-03-23:110 [3440]
[ 03:44:01 14.152.69.214 run  数据抓取] 天津西青当城2016-03-23:110 [3440]
[ 03:44:02 14.152.69.214 run  数据抓取] 天津西青红旗2016-03-23:110 [3440]
[ 03:44:02 14.152.69.214 run  数据抓取] 阿勒泰四季青2016-03-23:110 [3440]
[ 03:44:03 14.152.69.214 run  数据抓取] 兵团农二师库尔勒孔雀2016-03-23:110 [3440]
[ 03:44:04 14.152.69.214 run  数据抓取] 兵团农五师三和2016-03-23:110 [3440]
[ 03:44:05 14.152.69.214 run  数据抓取] 博乐三和2016-03-23:110 [3440]
[ 03:44:06 14.152.69.214 run  数据抓取] 昌吉通汇2016-03-23:110 [3440]
[ 03:44:06 14.152.69.214 run  数据抓取] 喀什解放南路2016-03-23:110 [3440]
[ 03:44:16 14.152.69.214 run  数据抓取] 克拉玛依农副2016-03-23:110 [3440]
[ 03:44:17 14.152.69.214 run  数据抓取] 克州博格拉2016-03-23:110 [3440]
[ 03:44:17 14.152.69.214 run  数据抓取] 石河子农产品交易中心2016-03-23:110 [3440]
[ 03:44:18 14.152.69.214 run  数据抓取] 石河子农产品交易中心2016-03-23:110 [3440]
[ 03:44:19 14.152.69.214 run  数据抓取] 吐鲁番天马家园2016-03-23:110 [3440]
[ 03:44:19 14.152.69.214 run  数据抓取] 乌尔禾2016-03-23:110 [3440]
[ 03:44:20 14.152.69.214 run  数据抓取] 乌鲁木齐北园春2016-03-23:110 [3440]
[ 03:44:21 14.152.69.214 run  数据抓取] 乌鲁木齐凌庆2016-03-23:110 [3440]
[ 03:44:22 14.152.69.214 run  数据抓取] 乌鲁木齐天鹰2016-03-23:110 [3440]
[ 03:44:22 14.152.69.214 run  数据抓取] 乌鲁木齐通汇2016-03-23:110 [3440]
[ 03:44:23 14.152.69.214 run  数据抓取] 焉耆光明2016-03-23:110 [3440]
[ 03:44:24 14.152.69.214 run  数据抓取] 伊犁66团2016-03-23:110 [3440]
[ 03:44:25 14.152.69.214 run  数据抓取] 伊宁天山街2016-03-23:110 [3440]
[ 03:44:25 14.152.69.214 run  数据抓取] 昆明呈贡2016-03-23:110 [3440]
[ 03:44:26 14.152.69.214 run  数据抓取] 昆明王旗营2016-03-23:110 [3440]
[ 03:44:27 14.152.69.214 run  数据抓取] 通海2016-03-23:110 [3440]
[ 03:44:28 14.152.69.214 run  数据抓取] 杭州良渚2016-03-23:110 [3440]
[ 03:44:28 14.152.69.214 run  数据抓取] 杭州农产品2016-03-23:110 [3440]
[ 03:44:29 14.152.69.214 run  数据抓取] 嘉善曹安2016-03-23:110 [3440]
[ 03:44:30 14.152.69.214 run  数据抓取] 嘉善浙北2016-03-23:110 [3440]
[ 03:44:31 14.152.69.214 run  数据抓取] 嘉兴蔬菜2016-03-23:110 [3440]
[ 03:44:32 14.152.69.214 run  数据抓取] 嘉兴水果2016-03-23:110 [3440]
[ 03:44:32 14.152.69.214 run  数据抓取] 金华农产品2016-03-23:110 [3440]
[ 03:44:33 14.152.69.214 run  数据抓取] 宁波蔬菜2016-03-23:110 [3440]
[ 03:44:34 14.152.69.214 run  数据抓取] 绍兴批发2016-03-23:110 [3440]
[ 03:44:35 14.152.69.214 run  数据抓取] 义乌2016-03-23:110 [3440]
[ 03:44:36 14.152.69.214 run  数据抓取] 余姚农副2016-03-23:110 [3440]
[ 03:44:37 14.152.69.214 run  数据抓取] 浙西鼎顺蔬菜2016-03-23:110 [3440]
[ 03:44:37 14.152.69.214 run  数据抓取] 重庆观音桥2016-03-23:110 [3440]
[ 03:44:38 14.152.69.214 run  数据抓取] 重庆华牧肉业2016-03-23:110 [3440]
[ 03:44:39 14.152.69.214 run  数据抓取] 重庆九龙坡太慈2016-03-23:110 [3440]
[ 03:44:40 14.152.69.214 run  数据抓取] 重庆南坪正扬大2016-03-23:110 [3440]
[ 03:44:40 14.152.69.214 run  数据抓取] 重庆新大兴国际批发2016-03-23:110 [3440]
[ 03:44:41 14.152.69.214 run  数据抓取] 重庆永川南大街2016-03-23:110 [3440]
[ 03:44:42 14.152.69.214 run  数据抓取] 重庆渝东水果2016-03-23:110 [3440]
[ 03:44:43 14.152.69.214 run  数据抓取] 重庆渝中西三街2016-03-23:110 [3440]
[ 03:44:43 14.152.69.214 run  数据抓取] access 25520recorde [3440]
[ 17:20:57 114.97.30.206 run  数据抓取] 安庆2016-03-24:110 [3440]
[ 17:20:58 114.97.30.206 run  数据抓取] 亳州2016-03-24:110 [3440]
[ 17:20:59 114.97.30.206 run  数据抓取] 砀山2016-03-24:110 [3440]
[ 17:21:00 114.97.30.206 run  数据抓取] 合肥周谷堆2016-03-24:110 [3440]
[ 17:21:00 114.97.30.206 run  数据抓取] 和县2016-03-24:110 [3440]
[ 17:21:01 114.97.30.206 run  数据抓取] 淮北2016-03-24:110 [3440]
[ 17:21:02 114.97.30.206 run  数据抓取] 六安紫竹林2016-03-24:110 [3440]
[ 17:21:03 114.97.30.206 run  数据抓取] 马鞍山安民2016-03-24:110 [3440]
[ 17:21:03 114.97.30.206 run  数据抓取] 宿州南关2016-03-24:110 [3440]
[ 17:21:04 114.97.30.206 run  数据抓取] 裕安紫竹林2016-03-24:110 [3440]
[ 17:21:05 114.97.30.206 run  数据抓取] 北京八里桥2016-03-24:110 [3440]
[ 17:21:06 114.97.30.206 run  数据抓取] 北京大洋路2016-03-24:110 [3440]
[ 17:21:06 114.97.30.206 run  数据抓取] 北京锦绣大地2016-03-24:110 [3440]
[ 17:21:07 114.97.30.206 run  数据抓取] 北京日上2016-03-24:110 [3440]
[ 17:21:08 114.97.30.206 run  数据抓取] 北京水屯2016-03-24:110 [3440]
[ 17:21:09 114.97.30.206 run  数据抓取] 北京顺鑫石门2016-03-24:110 [3440]
[ 17:21:09 114.97.30.206 run  数据抓取] 北京新发地2016-03-24:110 [3440]
[ 17:21:10 114.97.30.206 run  数据抓取] 北京玉泉路2016-03-24:110 [3440]
[ 17:21:11 114.97.30.206 run  数据抓取] 北京岳各庄2016-03-24:110 [3440]
[ 17:21:12 114.97.30.206 run  数据抓取] 福鼎2016-03-24:110 [3440]
[ 17:21:12 114.97.30.206 run  数据抓取] 福州2016-03-24:110 [3440]
[ 17:21:13 114.97.30.206 run  数据抓取] 福州海峡2016-03-24:110 [3440]
[ 17:21:14 114.97.30.206 run  数据抓取] 龙岩2016-03-24:110 [3440]
[ 17:21:15 114.97.30.206 run  数据抓取] 南平2016-03-24:110 [3440]
[ 17:21:15 114.97.30.206 run  数据抓取] 宁德2016-03-24:110 [3440]
[ 17:21:16 114.97.30.206 run  数据抓取] 莆田2016-03-24:110 [3440]
[ 17:21:17 114.97.30.206 run  数据抓取] 泉州2016-03-24:110 [3440]
[ 17:21:17 114.97.30.206 run  数据抓取] 三明2016-03-24:110 [3440]
[ 17:21:18 114.97.30.206 run  数据抓取] 厦门2016-03-24:110 [3440]
[ 17:21:19 114.97.30.206 run  数据抓取] 同安闽南2016-03-24:110 [3440]
[ 17:21:20 114.97.30.206 run  数据抓取] 漳州2016-03-24:110 [3440]
[ 17:21:21 114.97.30.206 run  数据抓取] 靖远2016-03-24:110 [3440]
[ 17:21:21 114.97.30.206 run  数据抓取] 酒泉春光2016-03-24:110 [3440]
[ 17:21:22 114.97.30.206 run  数据抓取] 兰州大青山2016-03-24:110 [3440]
[ 17:21:23 114.97.30.206 run  数据抓取] 陇西清吉2016-03-24:110 [3440]
[ 17:21:24 114.97.30.206 run  数据抓取] 天水瀛池2016-03-24:110 [3440]
[ 17:21:24 114.97.30.206 run  数据抓取] 武山2016-03-24:110 [3440]
[ 17:21:25 114.97.30.206 run  数据抓取] 东莞大京九2016-03-24:110 [3440]
[ 17:21:26 114.97.30.206 run  数据抓取] 广州江南2016-03-24:110 [3440]
[ 17:21:27 114.97.30.206 run  数据抓取] 惠州农产品物流中心2016-03-24:110 [3440]
[ 17:21:27 114.97.30.206 run  数据抓取] 江门水产2016-03-24:110 [3440]
[ 17:21:28 114.97.30.206 run  数据抓取] 江门水果2016-03-24:110 [3440]
[ 17:21:29 114.97.30.206 run  数据抓取] 汕头2016-03-24:110 [3440]
[ 17:21:29 114.97.30.206 run  数据抓取] 深圳南山批发2016-03-24:110 [3440]
[ 17:21:30 114.97.30.206 run  数据抓取] 南宁五里亭2016-03-24:110 [3440]
[ 17:21:31 114.97.30.206 run  数据抓取] 田阳2016-03-24:110 [3440]
[ 17:21:32 114.97.30.206 run  数据抓取] 玉屏2016-03-24:110 [3440]
[ 17:21:32 114.97.30.206 run  数据抓取] 遵义虾子辣椒2016-03-24:110 [3440]
[ 17:21:33 114.97.30.206 run  数据抓取] 保定批发2016-03-24:110 [3440]
[ 17:21:34 114.97.30.206 run  数据抓取] 沧州红枣2016-03-24:110 [3440]
[ 17:21:34 114.97.30.206 run  数据抓取] 馆陶金凤2016-03-24:110 [3440]
[ 17:21:36 114.97.30.206 run  数据抓取] 怀来京西2016-03-24:110 [3440]
[ 17:21:36 114.97.30.206 run  数据抓取] 乐亭冀东2016-03-24:110 [3440]
[ 17:21:37 114.97.30.206 run  数据抓取] 秦皇岛昌黎批发2016-03-24:110 [3440]
[ 17:21:38 114.97.30.206 run  数据抓取] 秦皇岛海阳2016-03-24:110 [3440]
[ 17:21:39 114.97.30.206 run  数据抓取] 饶阳2016-03-24:110 [3440]
[ 17:21:40 114.97.30.206 run  数据抓取] 三河2016-03-24:110 [3440]
[ 17:21:40 114.97.30.206 run  数据抓取] 石家庄桥西批发2016-03-24:110 [3440]
[ 17:21:41 114.97.30.206 run  数据抓取] 唐山荷花坑2016-03-24:110 [3440]
[ 17:21:42 114.97.30.206 run  数据抓取] 威县瓜菜2016-03-24:110 [3440]
[ 17:21:43 114.97.30.206 run  数据抓取] 魏县天仙2016-03-24:110 [3440]
[ 17:21:43 114.97.30.206 run  数据抓取] 安阳批发2016-03-24:110 [3440]
[ 17:21:44 114.97.30.206 run  数据抓取] 南阳果品2016-03-24:110 [3440]
[ 17:21:45 114.97.30.206 run  数据抓取] 濮阳批发2016-03-24:110 [3440]
[ 17:21:45 114.97.30.206 run  数据抓取] 三门峡原店2016-03-24:110 [3440]
[ 17:21:46 114.97.30.206 run  数据抓取] 商丘批发2016-03-24:110 [3440]
[ 17:21:47 114.97.30.206 run  数据抓取] 信阳豫信花生2016-03-24:110 [3440]
[ 17:21:47 114.97.30.206 run  数据抓取] 郑州毛庄2016-03-24:110 [3440]
[ 17:21:48 114.97.30.206 run  数据抓取] 北安北方商场2016-03-24:110 [3440]
[ 17:21:49 114.97.30.206 run  数据抓取] 大庆九区2016-03-24:110 [3440]
